Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Washington DC
1920,0.624385084,,0.443886902,0.601643458,0.26831604,0.377217956,0.344957552,0.430219146,0.668658767,0.722841667,,0.343619517,0.273365305,0.423407803,0.264227129,0.334330812,0.502209627,0.694281159,0.30187491,0.433422997,0.288868542,0.234313445,0.215867696,0.856826587,0.441487111,0.34395271,0.325813253,0.388906435,0.396951691,0.295806906,0.447431497,0.294539484,0.567434214,0.189484237,0.39756042,0.470949306,0.357849122,0.292581729,0.338790955,0.960916442,0.245093091,0.484437846,0.716001537,0.409851368,0.234699487,0.618306085,0.274197798,0.439122427,0.185330671,0.331854532,
1916,0.776202263,,0.617759899,0.696573344,0.502031104,0.636075184,0.48369365,0.487609329,0.793030668,0.91877625,,0.558546348,0.451892211,0.494858296,0.441510103,0.531177923,0.527484937,0.925110897,0.479500678,0.541086247,0.479784314,0.458200718,0.499453576,0.94977266,0.51869565,0.602235822,0.57421601,0.594455406,0.500319978,0.439620833,0.5183599,0.46344217,0.582090275,0.50798237,0.539953026,0.603690299,0.486379101,0.425735166,0.473818796,0.975550508,0.479636652,0.568750626,0.81508792,0.608502914,0.360684901,0.675673544,0.523074992,0.495201515,0.464264833,0.566161475,
1908,0.744267248,,,0.605789514,0.372903565,0.505894055,0.376745598,0.468567422,0.74486326,0.636295677,,0.407307705,0.417130083,0.492192854,0.421805538,0.449770524,0.508733793,0.876485674,0.345766188,0.498698482,0.369014659,0.34373845,0.358405079,0.932513534,0.499546684,0.475615887,0.507946656,0.50993769,0.387712548,0.407578938,,0.434114799,0.543764271,0.363109369,0.467633087,0.525530736,0.378299645,0.375687805,0.359893952,0.940437546,0.373518117,0.534763492,0.767938424,0.41109149,0.225199812,0.612066294,0.356236305,0.446946692,0.402167907,0.417123364,
1904,0.78026577,,,0.578953043,0.303444999,0.426403312,0.396248872,0.449386788,0.760837672,0.776644645,,0.278888671,0.341167049,0.426907073,0.326333416,0.288083068,0.513857373,0.901630979,0.296989492,0.499883531,0.39130907,0.270595125,0.203014295,0.942212826,0.479654753,0.383969668,0.276380177,0.367139959,0.386164534,0.401644986,,0.443132359,0.600828923,0.21345038,0.364823571,,0.224697343,0.286694822,0.373833604,0.953662209,0.23358355,0.555460391,0.765420569,0.348564037,0.194621387,0.626015882,0.216742005,0.431973445,0.307042915,0.303545328,
1900,0.635906535,,,0.644280701,0.431369504,0.568721763,0.41913855,0.455505352,0.793561244,0.703222453,,0.519571822,0.456893717,0.479494213,0.404710747,0.466498927,0.508646686,0.790374363,0.360173719,0.473015173,0.396594276,0.400953492,0.372165927,0.900597426,0.528400304,0.594882015,0.483417286,0.622499019,0.393064416,0.426394836,,0.452164814,0.542541189,0.417777277,0.466118963,,0.415411106,0.373149019,0.369654452,0.929563883,0.420349937,0.541237498,0.671816476,0.488425851,0.231856076,0.557877089,0.438297373,0.45192466,0.37456904,0.412399578,
1896,0.700636121,,,0.745879484,0.496702739,0.859720413,0.339709624,0.447655575,0.743542017,0.612506524,,0.785595436,0.434039653,0.485555204,0.436113396,0.518624252,0.499682387,0.777879692,0.300782677,0.431962308,0.274797433,0.447059578,0.419324927,0.929313228,0.543917428,0.802228203,0.527383283,0.812100058,0.273724935,0.376361794,,0.402104861,0.52926289,0.439931095,0.47583728,,0.489321384,0.372981108,0.278614922,0.863273336,0.501112232,0.529262215,0.68859791,0.8272555,0.172260268,0.533315867,0.576573264,0.472733277,0.38169018,0.518845841,
1888,0.672321209,,,0.590217675,0.48539034,0.425142378,0.501123716,0.55898379,0.598568532,0.712756752,,,0.484611019,0.49776114,0.459479411,0.359689689,0.542322579,0.734985997,0.406370268,0.515040694,0.451857328,0.474527404,0.422821891,0.739540962,0.525784081,,0.42625293,0.420773065,0.487262289,0.512079711,,0.494413058,0.523202422,,0.487939211,,0.443415311,0.459156965,0.443808704,0.827350427,,0.53312483,0.726505931,,0.270861568,0.502653744,,0.501613027,0.467869253,,
1884,0.609383625,,,0.586886357,0.465873931,0.43448211,0.504824166,0.566934136,0.531254181,0.660759405,,,0.480673109,0.50673845,0.473594103,0.368580752,0.563079098,0.574567885,0.419337461,0.530441259,0.45471168,0.495670497,0.385502063,0.643419395,0.537510476,,0.414240345,0.436770809,0.475403871,0.508673051,,0.500510595,0.533374887,,0.479305327,,0.478081766,0.450653921,0.394354094,0.762708163,,0.518747746,0.707517664,,0.304881696,0.510768939,,0.516160942,0.476133659,,
1880,0.617914293,,,0.59215859,0.500448018,0.473098259,0.489884547,0.517610556,0.541749002,0.654051102,,,0.465806231,0.492743934,0.365298931,0.329754618,0.582989055,0.62530161,0.468257901,0.544103216,0.40344073,0.415221562,0.362152469,0.6849377,0.57585018,,0.341584633,0.524011992,0.476305558,0.504133761,,0.490352322,0.517905095,,0.47609409,,0.49181742,0.478127802,0.372023193,0.657462025,,0.546137764,0.729877147,,0.287357957,0.605261417,,0.553781131,0.442569159,,
1876,0.599829933,,,0.600465188,0.491015811,,0.511962632,0.554468984,0.490144519,0.720333167,,,0.48172557,0.506541537,0.395562486,0.326106035,0.621283401,0.483517689,0.429515475,0.560451639,0.420246406,0.45914267,0.399754817,0.680760548,0.582190814,,0.353004379,0.472703265,0.481074329,0.528351232,,0.51619038,0.536216766,,0.494252768,,0.48200606,0.488019531,0.404241669,0.497566823,,0.597895332,0.700444652,,0.314771933,0.595756027,,0.573820566,0.487911084,,
1872,0.468099649,,,0.478272383,0.429848824,,0.475944963,0.478344427,0.464808677,0.549695478,,,0.433166206,0.467815392,0.351108481,0.330443498,0.529743962,0.443143319,0.321432122,0.503447455,0.307267065,0.361471453,0.387278787,0.365233243,0.559561024,,0.293189881,0.425694587,0.458137128,0.454792043,,0.467720586,0.425282895,,0.464335874,,0.395807771,0.377545715,0.280562283,0.238964512,,0.521603387,0.583665164,,0.208487578,0.495094808,,0.477462329,0.451645419,,
1868,0.487478942,,,0.463170672,0.497607127,,0.485075837,0.590005923,,0.642657806,,,0.443051044,0.486068256,0.380787805,0.311733559,0.745482616,0.706902932,0.375878614,0.671986637,0.302344973,0.430192359,0.391211117,,0.430381407,,0.360931267,0.446059155,0.447703279,0.508796557,,0.505880996,0.465894941,,0.459958596,,0.503712759,0.477962731,0.335090323,0.420660604,,0.3157316,,,0.21427809,,,0.411711036,0.437508716,,
1864,,,,,0.413986212,,0.486175142,0.518082969,,,,,0.455794346,0.464032353,0.358811809,0.183321386,0.698256016,,0.409348676,0.449143939,0.277769863,0.463985318,0.409386639,,0.302800299,,,0.401583435,0.474421945,0.528354059,,0.495381958,,,0.436281573,,0.460997547,0.482473586,0.377585592,,,,,,0.238993936,,,0.31763053,0.441161897,,
1852,0.640908874,,,0.621801093,0.530961105,,0.522717268,0.500991198,0.600305853,0.708619001,,,0.553907009,0.540963794,0.528361938,,0.484381874,0.519386107,0.56113119,0.532923208,0.458283634,0.552719875,,0.605029919,0.564192381,,,,0.647957444,0.534690626,,0.527367118,0.504725298,,0.525524489,,,0.525760857,0.533891571,,,0.492700414,0.730684208,,0.370389301,0.557087267,,,0.602455789,,
1848,0.505603763,,,0.550746092,,,0.471526434,0.47854251,0.428016104,0.485121917,,,0.514241073,0.516722894,0.530895692,,0.425448167,0.45411327,0.532609848,0.47802852,0.366164001,0.56212401,,0.50604316,0.550901743,,,,0.652571455,0.479757138,,0.343401361,0.448124671,,0.527997626,,,0.481335837,0.349736211,,,0.474771972,0.702905713,,0.321244131,0.508010521,,,0.521810213,,
1844,0.589893223,,,0.63009901,,,0.47613805,0.487705253,,0.511867079,,,0.5618305,0.508381143,,,0.459107889,0.513009492,0.570795411,0.476139176,0.44161997,0.532257446,,0.574304506,0.56978572,,,,0.603207036,0.494572171,,0.505431106,0.476096414,,0.490051747,,,0.509620418,0.399294446,,,0.499487316,,,0.40261884,0.530453532,,,,,
1840,0.543840284,,,0.564152378,,,0.444469839,0.44948796,,0.44223058,,,0.510036016,0.44141447,,,0.35800843,0.402707276,0.497726342,0.461657033,0.418147548,0.479138749,,0.465708419,0.566275532,,,,0.554701781,0.482006679,,0.484879221,0.423211742,,0.457179077,,,0.499419506,0.384776781,,,0.443395441,,,0.356938994,0.506481932,,,,,
1836,0.553356928,,,0.640818525,,,0.506497257,0.467266592,,0.481982268,,,0.546875465,0.440325926,,,0.474090455,0.517441077,0.606596152,0.462748602,0.448351119,0.562248362,,0.512824344,0.599770892,,,,0.750130391,0.494732162,,0.54625454,0.531005743,,0.478329589,,,0.511813623,0.522382799,,,0.420759844,,,0.400702235,0.566481275,,,,,
1832,0.999650129,,,,,,0.382986678,0.490102552,,1,,,0.68413412,0.670969526,,,0.455123462,0.616695597,0.554209007,0.499947802,0.303577654,,,1,1,,,,0.567556459,0.503806141,,0.521028594,0.847713011,,0.514915867,,,1,0.430713128,,,0.9542226,,,0.413731469,0.749644257,,,,,
1828,0.899108198,,,,,,0.243365979,,,0.967906419,,,0.672198003,0.566206212,,,0.555386007,0.530102452,0.401354467,0.497467028,0.167708101,,,0.810522531,0.706366913,,,,0.458998524,0.478666433,,0.514482886,0.730959561,,0.516035208,,,0.666570492,0.22965035,,,0.951862119,,,0.247678937,0.68990854,,,,,
